,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
317,HK_FUTURE.999010,13/11/2019 0:00,26975,26487,27006,26444,0,0,194214,5109827631,-1.834556371,26982
318,HK_FUTURE.999010,14/11/2019 0:00,26484,26328,26625,26178,0,0,218702,5742194882,-0.600294484,26487
319,HK_FUTURE.999010,15/11/2019 0:00,26318,26280,26617,26250,0,0,161856,4241912249,-0.182315406,26328
320,HK_FUTURE.999010,18/11/2019 0:00,26295,26682,26705,26227,0,0,173039,4590081520,1.529680365,26280
321,HK_FUTURE.999010,19/11/2019 0:00,26661,27079,27106,26500,0,0,196490,5254826785,1.487894461,26682
322,HK_FUTURE.999010,20/11/2019 0:00,27084,26803,27123,26776,0,0,153781,4125826625,-1.019240001,27079
323,HK_FUTURE.999010,21/11/2019 0:00,26800,26441,26868,26266,0,0,196415,5149217349,-1.350595083,26803
324,HK_FUTURE.999010,22/11/2019 0:00,26442,26623,26675,26442,0,0,153875,4055388585,0.68832495,26441
325,HK_FUTURE.999010,25/11/2019 0:00,26611,27025,27141,26554,0,0,206213,4777911066,1.50997258,26623
326,HK_FUTURE.999010,26/11/2019 0:00,27014,26980,27267,26923,0,0,208346,5122347240,-0.166512488,27025
327,HK_FUTURE.999010,27/11/2019 0:00,26943,26954,27017,26876,0,0,129174,3392751003,-0.09636768,26980
328,HK_FUTURE.999010,28/11/2019 0:00,26958,26918,27022,26729,0,0,22529,605824318,-0.133560882,26954
329,HK_FUTURE.999010,29/11/2019 0:00,26868,26333,26918,26323,0,0,169736,4434204179,-2.173266959,26918
330,HK_FUTURE.999010,2/12/2019 0:00,26373,26488,26576,26337,0,0,127896,3354936941,0.588615046,26333
331,HK_FUTURE.999010,3/12/2019 0:00,26490,26381,26500,26062,0,0,174993,4569103486,-0.403956509,26488
332,HK_FUTURE.999010,4/12/2019 0:00,26399,26062,26413,25949,0,0,171368,4457892040,-1.209203593,26381
333,HK_FUTURE.999010,5/12/2019 0:00,26084,26246,26327,26084,0,0,141295,3657255273,0.706008748,26062
334,HK_FUTURE.999010,6/12/2019 0:00,26240,26503,26555,26194,0,0,140999,3705608560,0.97919683,26246
335,HK_FUTURE.999010,9/12/2019 0:00,26507,26516,26664,26425,0,0,137539,3609414321,0.049051051,26503
336,HK_FUTURE.999010,10/12/2019 0:00,26500,26416,26573,26291,0,0,110337,2908416950,-0.377130789,26516
337,HK_FUTURE.999010,11/12/2019 0:00,26409,26653,26689,26262,0,0,145657,3814665343,0.897183525,26416
338,HK_FUTURE.999010,12/12/2019 0:00,26640,27012,27095,26588,0,0,137287,3665362724,1.346940307,26653
339,HK_FUTURE.999010,13/12/2019 0:00,27013,27704,27746,26916,0,0,183751,4996936181,2.561824374,27012
340,HK_FUTURE.999010,16/12/2019 0:00,27719,27580,27889,27447,0,0,185566,5060277670,-0.447588796,27704
341,HK_FUTURE.999010,17/12/2019 0:00,27579,27829,27922,27563,0,0,174495,4815116453,0.902828136,27580
342,HK_FUTURE.999010,18/12/2019 0:00,27829,27917,28032,27765,0,0,156542,4305139960,0.316216896,27829
343,HK_FUTURE.999010,19/12/2019 0:00,27915,27804,27976,27692,0,0,135088,3729557744,-0.404771286,27917
344,HK_FUTURE.999010,20/12/2019 0:00,27819,27940,28014,27752,0,0,161189,4334517286,0.489138253,27804
345,HK_FUTURE.999010,23/12/2019 0:00,27948,27856,28080,27846,0,0,186395,4530761851,-0.300644238,27940
346,HK_FUTURE.999010,24/12/2019 0:00,27864,27880,27922,27798,0,0,102922,2719043463,0.086157381,27856
347,HK_FUTURE.999010,27/12/2019 0:00,28022,28219,28258,28020,0,0,123748,3389046390,1.215925395,27880
348,HK_FUTURE.999010,30/12/2019 0:00,28219,28348,28396,28180,0,0,24954,705472337,0.457138807,28219
349,HK_FUTURE.999010,31/12/2019 0:00,28408,28270,28467,28198,0,0,88633,2493984749,-0.275151686,28348
350,HK_FUTURE.999010,2/1/2020 0:00,28363,28606,28631,28211,0,0,134974,3815860444,1.188539087,28270
351,HK_FUTURE.999010,3/1/2020 0:00,28628,28443,28947,28425,0,0,178088,5091871269,-0.569810529,28606
352,HK_FUTURE.999010,6/1/2020 0:00,28430,28181,28535,28077,0,0,175868,4938910832,-0.921140527,28443
353,HK_FUTURE.999010,7/1/2020 0:00,28175,28382,28529,28100,0,0,148408,4194581467,0.713246514,28181
354,HK_FUTURE.999010,8/1/2020 0:00,28359,28058,28395,27865,0,0,187170,5213314179,-1.1415686,28382
355,HK_FUTURE.999010,9/1/2020 0:00,28064,28622,28633,28064,0,0,148793,4205497198,2.01012189,28058
356,HK_FUTURE.999010,10/1/2020 0:00,28628,28666,28726,28511,0,0,136192,3877790956,0.153727902,28622
357,HK_FUTURE.999010,13/1/2020 0:00,28655,28962,29039,28649,0,0,153049,4381798732,1.032582153,28666
358,HK_FUTURE.999010,14/1/2020 0:00,28962,28799,29222,28793,0,0,160283,4614239764,-0.562806436,28962
359,HK_FUTURE.999010,15/1/2020 0:00,28805,28752,29030,28659,0,0,156475,4489922099,-0.163200111,28799
360,HK_FUTURE.999010,16/1/2020 0:00,28751,28895,29040,28734,0,0,160401,4604547017,0.497356706,28752
361,HK_FUTURE.999010,17/1/2020 0:00,28899,29065,29161,28807,0,0,163870,4691229766,0.588337083,28895
362,HK_FUTURE.999010,20/1/2020 0:00,29073,28695,29211,28686,0,0,159119,4595685974,-1.273008773,29065
363,HK_FUTURE.999010,21/1/2020 0:00,28678,27901,28755,27843,0,0,221298,6115503137,-2.767032584,28695
364,HK_FUTURE.999010,22/1/2020 0:00,27902,28318,28379,27902,0,0,210440,5573536545,1.494570087,27901
365,HK_FUTURE.999010,23/1/2020 0:00,28293,27815,28299,27703,0,0,259842,6453057568,-1.776255385,28318
366,HK_FUTURE.999010,24/1/2020 0:00,27800,27920,27965,27556,0,0,117038,3165457128,0.377494158,27815
367,HK_FUTURE.999010,29/1/2020 0:00,27010,27125,27338,26998,0,0,145343,3857525719,-2.847421203,27920
368,HK_FUTURE.999010,30/1/2020 0:00,27120,26660,27162,26653,0,0,34796,938908660,-1.714285714,27125
369,HK_FUTURE.999010,31/1/2020 0:00,26386,26233,26760,26230,0,0,196392,5154181432,-1.601650413,26660
370,HK_FUTURE.999010,3/2/2020 0:00,26222,26200,26460,25880,0,0,228718,5964518539,-0.125795753,26233
371,HK_FUTURE.999010,4/2/2020 0:00,26250,26777,26777,26205,0,0,203267,5372740335,2.202290076,26200
372,HK_FUTURE.999010,5/2/2020 0:00,26757,26740,26936,26526,0,0,205473,5468862323,-0.138178287,26777
373,HK_FUTURE.999010,6/2/2020 0:00,26747,27377,27568,26747,0,0,240177,6509940221,2.382198953,26740
374,HK_FUTURE.999010,7/2/2020 0:00,27413,27274,27413,27129,0,0,169522,4562288284,-0.376228221,27377
375,HK_FUTURE.999010,10/2/2020 0:00,27266,27094,27291,26905,0,0,171563,4613096426,-0.659969201,27274
376,HK_FUTURE.999010,11/2/2020 0:00,27120,27569,27622,27042,0,0,153488,4178630966,1.75315568,27094
377,HK_FUTURE.999010,12/2/2020 0:00,27560,27770,27820,27496,0,0,151850,4171852243,0.729079764,27569
378,HK_FUTURE.999010,13/2/2020 0:00,27793,27658,27900,27590,0,0,151925,4188818121,-0.403312928,27770
379,HK_FUTURE.999010,14/2/2020 0:00,27654,27753,27908,27495,0,0,153765,4233247754,0.34348109,27658
380,HK_FUTURE.999010,17/2/2020 0:00,27741,27842,28012,27576,0,0,141383,3879251565,0.320686052,27753
381,HK_FUTURE.999010,18/2/2020 0:00,27838,27426,27893,27424,0,0,145681,3970686706,-1.494145536,27842
382,HK_FUTURE.999010,19/2/2020 0:00,27422,27565,27650,27341,0,0,142797,3899472141,0.506818348,27426
383,HK_FUTURE.999010,20/2/2020 0:00,27589,27420,27721,27262,0,0,193258,5269122811,-0.526029385,27565
384,HK_FUTURE.999010,21/2/2020 0:00,27450,27200,27465,27155,0,0,170147,4593748792,-0.802334063,27420
385,HK_FUTURE.999010,24/2/2020 0:00,27225,26663,27335,26662,0,0,227912,5546877371,-1.974264706,27200
386,HK_FUTURE.999010,25/2/2020 0:00,26647,26754,26825,26310,0,0,246216,6012718141,0.341296928,26663
387,HK_FUTURE.999010,26/2/2020 0:00,26747,26580,26747,26296,0,0,201424,5107358016,-0.650370038,26754
388,HK_FUTURE.999010,27/2/2020 0:00,26555,26554,26813,26218,0,0,50355,1337629503,-0.097817908,26580
389,HK_FUTURE.999010,28/2/2020 0:00,26735,26170,26834,25923,0,0,283915,7395827227,-1.446109814,26554
390,HK_FUTURE.999010,2/3/2020 0:00,26127,26299,26357,25582,0,0,247763,6439061272,0.492930837,26170
391,HK_FUTURE.999010,3/3/2020 0:00,26250,26311,26530,25827,0,0,215753,5624910719,0.045629111,26299
392,HK_FUTURE.999010,4/3/2020 0:00,26337,26152,26611,25971,0,0,216372,5625623274,-0.604309984,26311
393,HK_FUTURE.999010,5/3/2020 0:00,26163,26704,26769,26163,0,0,206953,5432630288,2.110737229,26152
394,HK_FUTURE.999010,6/3/2020 0:00,26650,26010,26670,26008,0,0,198600,5166009967,-2.598861594,26704
395,HK_FUTURE.999010,9/3/2020 0:00,26007,24850,26014,24814,0,0,232314,5822214542,-4.459823145,26010
396,HK_FUTURE.999010,10/3/2020 0:00,24990,25449,25564,24360,0,0,249798,6194777171,2.410462777,24850
397,HK_FUTURE.999010,11/3/2020 0:00,25477,25129,25743,25085,0,0,217555,5465277173,-1.257416794,25449
398,HK_FUTURE.999010,12/3/2020 0:00,25170,24075,25330,24001,0,0,222430,5376631424,-4.194357117,25129
399,HK_FUTURE.999010,13/3/2020 0:00,24032,23853,24175,22116,0,0,259184,5985029753,-0.92211838,24075
400,HK_FUTURE.999010,16/3/2020 0:00,23850,22724,24749,22666,0,0,209553,4845665809,-4.733157255,23853
